Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
BB,3,N,NP,01,08,0,*,0.001,15
BB,3,N,NP,01,08,1,*,0.001,15
BB,4,N,NP,01,08,0,*,0.001,15
BB,4,N,NP,01,08,1,*,0.001,15
BB,5,N,NP,01,08,0,*,0.001,15
BB,5,N,NP,01,08,1,*,0.001,15
BB,3,N,PR,01,08,0,*,0.001,15
BB,3,N,PR,01,08,1,*,0.001,15
BB,4,N,PR,01,08,0,*,0.001,15
BB,4,N,PR,01,08,1,*,0.001,15
BB,5,N,PR,01,08,0,*,0.001,15
BB,5,N,PR,01,08,1,*,0.001,15
BB,3,B,PR,01,08,0,*,0.001,15
BB,3,B,PR,01,08,1,*,0.001,15
BB,4,B,PR,01,08,0,*,0.001,15
BB,4,B,PR,01,08,1,*,0.001,15
BB,5,B,PR,01,08,0,*,0.001,15
BB,5,B,PR,01,08,1,*,0.001,15
BB,3,S,PR,00,00,0,*,0.001,15
BB,3,S,PR,00,00,1,*,0.001,15
BB,4,S,PR,00,00,0,*,0.001,15
BB,4,S,PR,00,00,1,*,0.001,15
BB,5,S,PR,00,00,0,*,0.001,15
BB,5,S,PR,00,00,1,*,0.001,15
BB,3,D,PR,00,00,0,*,0.001,15
BB,3,D,PR,00,00,1,*,0.001,15
BB,4,D,PR,00,00,0,*,0.001,15
BB,4,D,PR,00,00,1,*,0.001,15
BB,5,D,PR,00,00,0,*,0.001,15
BB,5,D,PR,00,00,1,*,0.001,15
