Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
CP,3,I,SP,00,00,0,*,0.0001,70
CP,3,N,SP,00,00,0,*,0.0001,70
CP,3,I,SP,00,00,0,*,0.0001,70
CP,3,N,SP,00,00,0,*,0.0001,70
CP,3,I,SP,00,00,0,*,0.0001,70
CP,3,N,SP,00,00,0,*,0.0001,70
CP,3,I,SP,00,00,0,*,0.0001,70
CP,3,N,SP,00,00,0,*,0.0001,70
CP,5,I,SP,00,00,0,*,0.0001,70
CP,5,N,SP,00,00,0,*,0.0001,70
CP,5,I,SP,00,00,0,*,0.0001,70
CP,5,N,SP,00,00,0,*,0.0001,70
CP,5,I,SP,00,00,0,*,0.0001,70
CP,5,N,SP,00,00,0,*,0.0001,70
CP,5,I,SP,00,00,0,*,0.0001,70
CP,5,N,SP,00,00,0,*,0.0001,70
CP,2,I,SP,00,00,0,*,0.0001,70
CP,2,N,SP,00,00,0,*,0.0001,70
CP,2,I,SP,00,00,0,*,0.0001,70
CP,2,N,SP,00,00,0,*,0.0001,70
CP,2,I,SP,00,00,0,*,0.0001,70
CP,2,N,SP,00,00,0,*,0.0001,70
CP,2,I,SP,00,00,0,*,0.0001,70
CP,2,N,SP,00,00,0,*,0.0001,70
CP,1,I,SP,00,00,0,*,0.0001,70
CP,1,N,SP,00,00,0,*,0.0001,70
CP,1,I,SP,00,00,0,*,0.0001,70
CP,1,N,SP,00,00,0,*,0.0001,70
CP,1,I,SP,00,00,0,*,0.0001,70
CP,1,N,SP,00,00,0,*,0.0001,70
CP,1,I,SP,00,00,0,*,0.0001,70
CP,1,N,SP,00,00,0,*,0.0001,70
CP,2,I,FE,00,00,0,*,0.0001,4
CP,2,N,FE,00,00,0,*,0.0001,4
CP,2,I,FE,00,00,0,*,0.0001,4
CP,2,N,FE,00,00,0,*,0.0001,4
CP,2,I,FE,00,00,0,*,0.0001,4
CP,2,N,FE,00,00,0,*,0.0001,4
CP,2,I,FE,00,00,0,*,0.0001,4
CP,2,N,FE,00,00,0,*,0.0001,4
CP,2,I,FA,00,00,0,*,0.0001,4
CP,2,N,FA,00,00,0,*,0.0001,4
CP,2,I,FA,00,00,0,*,0.0001,4
CP,2,N,FA,00,00,0,*,0.0001,4
CP,2,I,FA,00,00,0,*,0.0001,4
CP,2,N,FA,00,00,0,*,0.0001,4
CP,2,I,FA,00,00,0,*,0.0001,4
CP,2,N,FA,00,00,0,*,0.0001,4
CP,3,I,FP,00,00,0,*,0.0001,4
CP,3,N,FP,00,00,0,*,0.0001,4
CP,3,I,FP,00,00,0,*,0.0001,4
CP,3,N,FP,00,00,0,*,0.0001,4
CP,3,I,FP,00,00,0,*,0.0001,4
CP,3,N,FP,00,00,0,*,0.0001,4
CP,3,I,FP,00,00,0,*,0.0001,4
CP,3,N,FP,00,00,0,*,0.0001,4
CP,3,I,FS,00,00,0,*,0.0001,4
CP,3,N,FS,00,00,0,*,0.0001,4
CP,3,I,FS,00,00,0,*,0.0001,4
CP,3,N,FS,00,00,0,*,0.0001,4
CP,3,I,FS,00,00,0,*,0.0001,4
CP,3,N,FS,00,00,0,*,0.0001,4
CP,3,I,FS,00,00,0,*,0.0001,4
CP,3,N,FS,00,00,0,*,0.0001,4
CP,3,I,FB,00,00,0,*,0.0001,20
CP,3,N,FB,00,00,0,*,0.0001,20
CP,3,I,FB,00,00,0,*,0.0001,20
CP,3,N,FB,00,00,0,*,0.0001,20
CP,3,I,FB,00,00,0,*,0.0001,20
CP,3,N,FB,00,00,0,*,0.0001,20
CP,3,I,FB,00,00,0,*,0.0001,20
CP,3,N,FB,00,00,0,*,0.0001,20
CP,3,I,PL,00,00,0,*,0.0001,20
CP,3,N,PL,00,00,0,*,0.0001,20
CP,3,I,PL,00,00,0,*,0.0001,20
CP,3,N,PL,00,00,0,*,0.0001,20
CP,3,I,PL,00,00,0,*,0.0001,20
CP,3,N,PL,00,00,0,*,0.0001,20
CP,3,I,PL,00,00,0,*,0.0001,20
CP,3,N,PL,00,00,0,*,0.0001,20
