Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
EX,1,N,E4,00,00,0,*,0.0001,70
EX,1,N,E4,00,00,1,*,0.0001,70
EX,1,N,E4,00,00,2,*,0.0001,70
EX,2,N,E4,00,00,0,*,0.0001,70
EX,2,N,E4,00,00,1,*,0.0001,70
EX,2,N,E4,00,00,2,*,0.0001,70
EX,5,N,E4,00,00,0,*,0.0001,70
EX,5,N,E4,00,00,1,*,0.0001,70
EX,5,N,E4,00,00,2,*,0.0001,70
EX,2,N,E6,00,00,0,*,0.0001,70
EX,2,N,E6,00,00,1,*,0.0001,70
EX,2,N,E6,00,00,2,*,0.0001,70
EX,3,N,E8,00,00,0,*,0.0001,70
EX,3,N,E8,00,00,1,*,0.0001,70
EX,3,N,E8,00,00,2,*,0.0001,70
EX,1,N,PA,LC,08,0,*,0.0001,70
EX,1,N,PA,LC,08,1,*,0.0001,70
EX,1,N,PA,LC,08,2,*,0.0001,70
EX,2,N,PA,LC,08,0,*,0.0001,70
EX,2,N,PA,LC,08,1,*,0.0001,70
EX,2,N,PA,LC,08,2,*,0.0001,70
EX,5,N,PA,LC,08,0,*,0.0001,70
EX,5,N,PA,LC,08,1,*,0.0001,70
EX,5,N,PA,LC,08,2,*,0.0001,70
EX,3,N,FP,00,00,0,*,0.0001,70
EX,3,N,FP,00,00,1,*,0.0001,70
EX,3,N,FP,00,00,2,*,0.0001,70
EX,5,N,FP,00,00,0,*,0.0001,70
EX,5,N,FP,00,00,1,*,0.0001,70
EX,5,N,FP,00,00,2,*,0.0001,70
EX,1,N,E3,00,00,0,*,0.0001,70
EX,1,N,E3,00,00,1,*,0.0001,70
EX,1,N,E3,00,00,2,*,0.0001,70
EX,2,N,E3,00,00,0,*,0.0001,70
EX,2,N,E3,00,00,1,*,0.0001,70
EX,2,N,E3,00,00,2,*,0.0001,70
EX,5,N,E3,00,00,0,*,0.0001,70
EX,5,N,E3,00,00,1,*,0.0001,70
EX,5,N,E3,00,00,2,*,0.0001,70
EX,2,N,E5,00,00,0,*,0.0001,70
EX,2,N,E5,00,00,1,*,0.0001,70
EX,2,N,E5,00,00,2,*,0.0001,70
EX,3,N,E9,00,00,0,*,0.0001,70
EX,3,N,E9,00,00,1,*,0.0001,70
EX,3,N,E9,00,00,2,*,0.0001,70
EX,1,N,PP,LC,08,0,*,0.0001,70
EX,1,N,PP,LC,08,1,*,0.0001,70
EX,1,N,PP,LC,08,2,*,0.0001,70
EX,2,N,PP,LC,08,0,*,0.0001,70
EX,2,N,PP,LC,08,1,*,0.0001,70
EX,2,N,PP,LC,08,2,*,0.0001,70
EX,5,N,PP,LC,08,0,*,0.0001,70
EX,5,N,PP,LC,08,1,*,0.0001,70
EX,5,N,PP,LC,08,2,*,0.0001,70
EX,3,N,FE,00,00,0,*,0.0001,70
EX,3,N,FE,00,00,1,*,0.0001,70
EX,3,N,FE,00,00,2,*,0.0001,70
EX,5,N,FE,00,00,0,*,0.0001,70
EX,5,N,FE,00,00,1,*,0.0001,70
EX,5,N,FE,00,00,2,*,0.0001,70
EX,2,N,E7,00,00,0,*,0.0001,70
EX,2,N,E7,00,00,1,*,0.0001,70
EX,2,N,E7,00,00,2,*,0.0001,70
EX,3,N,EE,00,00,0,*,0.0001,70
EX,3,N,EE,00,00,1,*,0.0001,70
EX,3,N,EE,00,00,2,*,0.0001,70
EX,O,A,PA,LC,08,0,*,0.0001,70
EX,O,A,PA,LC,08,1,*,0.0001,70
EX,O,A,PA,LC,08,2,*,0.0001,70
EX,O,B,PA,LC,08,0,*,0.0001,70
EX,O,B,PA,LC,08,1,*,0.0001,70
EX,O,B,PA,LC,08,2,*,0.0001,70
EX,O,D,PA,LC,08,0,*,0.0001,70
EX,O,D,PA,LC,08,1,*,0.0001,70
EX,O,D,PA,LC,08,2,*,0.0001,70
EX,O,F,PA,LC,08,0,*,0.0001,70
EX,O,F,PA,LC,08,1,*,0.0001,70
EX,O,F,PA,LC,08,2,*,0.0001,70
EX,O,S,PA,LC,08,0,*,0.0001,70
EX,O,S,PA,LC,08,1,*,0.0001,70
EX,O,S,PA,LC,08,2,*,0.0001,70
EX,O,A,PP,LC,08,0,*,0.0001,70
EX,O,A,PP,LC,08,1,*,0.0001,70
EX,O,A,PP,LC,08,2,*,0.0001,70
EX,O,B,PP,LC,08,0,*,0.0001,70
EX,O,B,PP,LC,08,1,*,0.0001,70
EX,O,B,PP,LC,08,2,*,0.0001,70
EX,O,D,PP,LC,08,0,*,0.0001,70
EX,O,D,PP,LC,08,1,*,0.0001,70
EX,O,D,PP,LC,08,2,*,0.0001,70
EX,O,F,PP,LC,08,0,*,0.0001,70
EX,O,F,PP,LC,08,1,*,0.0001,70
EX,O,F,PP,LC,08,2,*,0.0001,70
EX,O,S,PP,LC,08,0,*,0.0001,70
EX,O,S,PP,LC,08,1,*,0.0001,70
EX,O,S,PP,LC,08,2,*,0.0001,70
