Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
IE,3,I,PA,00,00,0,*,0.0001,70
IE,3,N,PA,00,00,0,*,0.0001,70
IE,3,I,PA,00,00,0,*,0.0001,70
IE,3,N,PA,00,00,0,*,0.0001,70
IE,3,I,PA,00,00,0,*,0.0001,70
IE,3,N,PA,00,00,0,*,0.0001,70
IE,3,I,PA,00,00,0,*,0.0001,70
IE,3,N,PA,00,00,0,*,0.0001,70
IE,5,I,PA,00,00,0,*,0.0001,70
IE,5,N,PA,00,00,0,*,0.0001,70
IE,5,I,PA,00,00,0,*,0.0001,70
IE,5,N,PA,00,00,0,*,0.0001,70
IE,5,I,PA,00,00,0,*,0.0001,70
IE,5,N,PA,00,00,0,*,0.0001,70
IE,5,I,PA,00,00,0,*,0.0001,70
IE,5,N,PA,00,00,0,*,0.0001,70
IE,2,I,PA,00,00,0,*,0.0001,70
IE,2,N,PA,00,00,0,*,0.0001,70
IE,2,I,PA,00,00,0,*,0.0001,70
IE,2,N,PA,00,00,0,*,0.0001,70
IE,2,I,PA,00,00,0,*,0.0001,70
IE,2,N,PA,00,00,0,*,0.0001,70
IE,2,I,PA,00,00,0,*,0.0001,70
IE,2,N,PA,00,00,0,*,0.0001,70
IE,1,I,PA,00,00,0,*,0.0001,70
IE,1,N,PA,00,00,0,*,0.0001,70
IE,1,I,PA,00,00,0,*,0.0001,70
IE,1,N,PA,00,00,0,*,0.0001,70
IE,1,I,PA,00,00,0,*,0.0001,70
IE,1,N,PA,00,00,0,*,0.0001,70
IE,1,I,PA,00,00,0,*,0.0001,70
IE,1,N,PA,00,00,0,*,0.0001,70
IE,2,I,E4,00,00,0,*,0.0001,20
IE,2,N,E4,00,00,0,*,0.0001,20
IE,2,I,E4,00,00,0,*,0.0001,20
IE,2,N,E4,00,00,0,*,0.0001,20
IE,2,I,E4,00,00,0,*,0.0001,20
IE,2,N,E4,00,00,0,*,0.0001,20
IE,2,I,E4,00,00,0,*,0.0001,20
IE,2,N,E4,00,00,0,*,0.0001,20
IE,2,I,E6,00,00,0,*,0.0001,20
IE,2,N,E6,00,00,0,*,0.0001,20
IE,2,I,E6,00,00,0,*,0.0001,20
IE,2,N,E6,00,00,0,*,0.0001,20
IE,2,I,E6,00,00,0,*,0.0001,20
IE,2,N,E6,00,00,0,*,0.0001,20
IE,2,I,E6,00,00,0,*,0.0001,20
IE,2,N,E6,00,00,0,*,0.0001,20
IE,3,I,E8,00,00,0,*,0.0001,20
IE,3,N,E8,00,00,0,*,0.0001,20
IE,3,I,E8,00,00,0,*,0.0001,20
IE,3,N,E8,00,00,0,*,0.0001,20
IE,3,I,E8,00,00,0,*,0.0001,20
IE,3,N,E8,00,00,0,*,0.0001,20
IE,3,I,E8,00,00,0,*,0.0001,20
IE,3,N,E8,00,00,0,*,0.0001,20
