Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
LW,3,B,DF,00,00,0,*,0.2188,0.9999
LW,3,B,DF,00,00,1,*,0.2188,0.9999
LW,3,B,DF,00,00,2,*,0.2188,0.9999
LW,3,S,DF,00,00,0,*,0.2188,0.9999
LW,3,S,DF,00,00,1,*,0.2188,0.9999
LW,3,S,DF,00,00,2,*,0.2188,0.9999
LW,3,D,DF,00,00,0,*,0.2188,0.9999
LW,3,D,DF,00,00,1,*,0.2188,0.9999
LW,3,D,DF,00,00,2,*,0.2188,0.9999
LW,3,N,DC,00,00,0,*,0.2188,0.9999
LW,3,N,DC,00,00,1,*,0.2188,0.9999
LW,3,N,DC,00,00,2,*,0.2188,0.9999
LW,3,B,DC,00,00,0,*,0.2188,0.9999
LW,3,B,DC,00,00,1,*,0.2188,0.9999
LW,3,B,DC,00,00,2,*,0.2188,0.9999
LW,3,N,BB,00,00,0,*,0.2188,0.9999
LW,3,N,BB,00,00,1,*,0.2188,0.9999
LW,3,N,BB,00,00,2,*,0.2188,0.9999
LW,4,B,DE,00,00,0,*,0.0625,0.9999
LW,4,B,DE,00,00,1,*,0.0625,0.9999
LW,4,B,DE,00,00,2,*,0.0625,0.9999
LW,4,S,DE,00,00,0,*,0.0625,0.9999
LW,4,S,DE,00,00,1,*,0.0625,0.9999
LW,4,S,DE,00,00,2,*,0.0625,0.9999
LW,4,N,DC,00,00,0,*,0.0625,0.9999
LW,4,N,DC,00,00,1,*,0.0625,0.9999
LW,4,N,DC,00,00,2,*,0.0625,0.9999
LW,4,B,DC,00,00,0,*,0.0625,0.9999
LW,4,B,DC,00,00,1,*,0.0625,0.9999
LW,4,B,DC,00,00,2,*,0.0625,0.9999
LW,4,N,BB,00,00,0,*,0.0625,0.9999
LW,4,N,BB,00,00,1,*,0.0625,0.9999
LW,4,N,BB,00,00,2,*,0.0625,0.9999
LW,4,B,DF,00,00,0,*,0.0625,0.9999
LW,4,B,DF,00,00,1,*,0.0625,0.9999
LW,4,B,DF,00,00,2,*,0.0625,0.9999
LW,4,S,DF,00,00,0,*,0.0625,0.9999
LW,4,S,DF,00,00,1,*,0.0625,0.9999
LW,4,S,DF,00,00,2,*,0.0625,0.9999
LW,4,D,DF,00,00,0,*,0.0625,0.9999
LW,4,D,DF,00,00,1,*,0.0625,0.9999
LW,4,D,DF,00,00,2,*,0.0625,0.9999
