Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
MR,2,N,FE,00,00,0,*,0.0001,70
MR,2,N,FE,00,00,1,*,0.0001,70
MR,2,N,FE,00,00,2,*,0.0001,70
MR,2,N,FP,00,00,0,*,0.0001,70
MR,2,N,FP,00,00,1,*,0.0001,70
MR,2,N,FP,00,00,2,*,0.0001,70
MR,2,N,FA,00,00,0,*,0.0001,70
MR,2,N,FA,00,00,1,*,0.0001,70
MR,2,N,FA,00,00,2,*,0.0001,70
MR,5,N,FE,00,00,0,*,0.0001,70
MR,5,N,FB,00,00,0,*,0.0001,70
MR,5,N,SP,01,08,0,*,0.0001,70
MR,5,N,BN,01,04,0,*,0.0001,70
MR,5,N,DR,05,08,0,*,0.0001,70
MR,5,N,DN,05,08,0,*,0.0001,70
MR,5,N,FS,00,00,0,*,0.0001,70
MR,5,N,PL,00,00,0,*,0.0001,70
MR,5,N,FE,00,00,1,*,0.0001,70
MR,5,N,FB,00,00,1,*,0.0001,70
MR,5,N,SP,01,08,1,*,0.0001,70
MR,5,N,BN,01,04,1,*,0.0001,70
MR,5,N,DR,05,08,1,*,0.0001,70
MR,5,N,DN,05,08,1,*,0.0001,70
MR,5,N,FS,00,00,1,*,0.0001,70
MR,5,N,PL,00,00,1,*,0.0001,70
MR,5,N,FE,00,00,2,*,0.0001,70
MR,5,N,FB,00,00,2,*,0.0001,70
MR,5,N,SP,01,08,2,*,0.0001,70
MR,5,N,BN,01,04,2,*,0.0001,70
MR,5,N,DR,05,08,2,*,0.0001,70
MR,5,N,DN,05,08,2,*,0.0001,70
MR,5,N,FS,00,00,2,*,0.0001,70
MR,5,N,PL,00,00,2,*,0.0001,70
MR,1,N,SP,LC,08,0,*,0.0001,70
MR,1,N,SP,LC,08,1,*,0.0001,70
MR,1,N,SP,LC,08,2,*,0.0001,70
MR,2,N,SP,LC,08,0,*,0.0001,70
MR,2,N,SP,LC,08,1,*,0.0001,70
MR,2,N,SP,LC,08,2,*,0.0001,70
