Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
PG,3,I,SP,00,00,0,*,0.0001,70
PG,3,N,SP,00,00,0,*,0.0001,70
PG,3,I,SP,00,00,0,*,0.0001,70
PG,3,N,SP,00,00,0,*,0.0001,70
PG,3,I,SP,00,00,0,*,0.0001,70
PG,3,N,SP,00,00,0,*,0.0001,70
PG,3,I,SP,00,00,0,*,0.0001,70
PG,3,N,SP,00,00,0,*,0.0001,70
PG,5,I,SP,00,00,0,*,0.0001,70
PG,5,N,SP,00,00,0,*,0.0001,70
PG,5,I,SP,00,00,0,*,0.0001,70
PG,5,N,SP,00,00,0,*,0.0001,70
PG,5,I,SP,00,00,0,*,0.0001,70
PG,5,N,SP,00,00,0,*,0.0001,70
PG,5,I,SP,00,00,0,*,0.0001,70
PG,5,N,SP,00,00,0,*,0.0001,70
PG,2,I,SP,00,00,0,*,0.0001,70
PG,2,N,SP,00,00,0,*,0.0001,70
PG,2,I,SP,00,00,0,*,0.0001,70
PG,2,N,SP,00,00,0,*,0.0001,70
PG,2,I,SP,00,00,0,*,0.0001,70
PG,2,N,SP,00,00,0,*,0.0001,70
PG,2,I,SP,00,00,0,*,0.0001,70
PG,2,N,SP,00,00,0,*,0.0001,70
PG,1,I,SP,00,00,0,*,0.0001,70
PG,1,N,SP,00,00,0,*,0.0001,70
PG,1,I,SP,00,00,0,*,0.0001,70
PG,1,N,SP,00,00,0,*,0.0001,70
PG,1,I,SP,00,00,0,*,0.0001,70
PG,1,N,SP,00,00,0,*,0.0001,70
PG,1,I,SP,00,00,0,*,0.0001,70
PG,1,N,SP,00,00,0,*,0.0001,70
PG,2,I,LE,00,00,0,*,0.0001,70
PG,2,N,LE,00,00,0,*,0.0001,70
PG,2,I,LE,00,00,0,*,0.0001,70
PG,2,N,LE,00,00,0,*,0.0001,70
PG,2,I,LE,00,00,0,*,0.0001,70
PG,2,N,LE,00,00,0,*,0.0001,70
PG,2,I,LE,00,00,0,*,0.0001,70
PG,2,N,LE,00,00,0,*,0.0001,70
