Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
PM,3,N,SP,LC,08,0,*,0.0001,70
PM,3,N,SP,LC,08,1,*,0.0001,70
PM,3,N,SP,LC,08,2,*,0.0001,70
PM,5,N,SP,LC,08,0,*,0.0001,70
PM,5,N,SP,LC,08,1,*,0.0001,70
PM,5,N,SP,LC,08,2,*,0.0001,70
PM,1,N,SP,LC,08,0,*,0.0001,70
PM,1,N,SP,LC,08,1,*,0.0001,70
PM,1,N,SP,LC,08,2,*,0.0001,70
PM,2,N,SP,LC,08,0,*,0.0001,70
PM,2,N,SP,LC,08,1,*,0.0001,70
PM,2,N,SP,LC,08,2,*,0.0001,70
PM,O,A,SP,LC,08,0,*,0.0001,70
PM,O,A,SP,LC,08,1,*,0.0001,70
PM,O,A,SP,LC,08,2,*,0.0001,70
PM,O,B,SP,LC,08,0,*,0.0001,70
PM,O,B,SP,LC,08,1,*,0.0001,70
PM,O,B,SP,LC,08,2,*,0.0001,70
PM,O,D,SP,LC,08,0,*,0.0001,70
PM,O,D,SP,LC,08,1,*,0.0001,70
PM,O,D,SP,LC,08,2,*,0.0001,70
PM,O,F,SP,LC,08,0,*,0.0001,70
PM,O,F,SP,LC,08,1,*,0.0001,70
PM,O,F,SP,LC,08,2,*,0.0001,70
PM,O,S,SP,LC,08,0,*,0.0001,70
PM,O,S,SP,LC,08,1,*,0.0001,70
PM,O,S,SP,LC,08,2,*,0.0001,70
PM,5,N,BN,LC,04,0,*,0.0001,20
PM,5,N,BN,LC,04,1,*,0.0001,20
PM,5,N,BN,LC,04,2,*,0.0001,20
PM,5,N,DN,05,08,0,*,0.0001,70
PM,5,N,DN,05,08,1,*,0.0001,70
PM,5,N,DN,05,08,2,*,0.0001,70
PM,5,N,DR,05,08,0,*,0.0001,70
PM,5,N,DR,05,08,1,*,0.0001,70
PM,5,N,DR,05,08,2,*,0.0001,70
PM,5,N,FB,00,00,0,*,0.0001,70
PM,5,N,FB,00,00,1,*,0.0001,70
PM,5,N,FB,00,00,2,*,0.0001,70
PM,5,N,FE,00,00,0,*,0.0001,70
PM,5,N,FE,00,00,1,*,0.0001,70
PM,5,N,FE,00,00,2,*,0.0001,70
PM,2,N,FE,00,00,0,*,0.0001,70
PM,2,N,FE,00,00,1,*,0.0001,70
PM,2,N,FE,00,00,2,*,0.0001,70
PM,5,N,FS,00,00,0,*,0.0001,70
PM,5,N,FS,00,00,1,*,0.0001,70
PM,5,N,FS,00,00,2,*,0.0001,70
PM,5,N,PL,00,00,0,*,0.0001,70
PM,5,N,PL,00,00,1,*,0.0001,70
PM,5,N,PL,00,00,2,*,0.0001,70
PM,5,N,PM,00,00,0,*,0.0001,70
PM,5,N,PM,00,00,1,*,0.0001,70
PM,5,N,PM,00,00,2,*,0.0001,70
PM,5,N,FP,00,00,0,*,0.0001,70
PM,5,N,FP,00,00,1,*,0.0001,70
PM,5,N,FP,00,00,2,*,0.0001,70
PM,2,N,FP,00,00,0,*,0.0001,70
PM,2,N,FP,00,00,1,*,0.0001,70
PM,2,N,FP,00,00,2,*,0.0001,70
PM,2,N,FA,00,00,0,*,0.0001,70
PM,2,N,FA,00,00,1,*,0.0001,70
PM,2,N,FA,00,00,2,*,0.0001,70
PM,5,N,CP,LC,08,0,*,0.0001,20
PM,5,N,CP,LC,08,1,*,0.0001,20
PM,5,N,CP,LC,08,2,*,0.0001,20
PM,3,N,CP,LC,08,0,*,0.0001,20
PM,3,N,CP,LC,08,1,*,0.0001,20
PM,3,N,CP,LC,08,2,*,0.0001,20
PM,3,N,P5,LC,08,0,*,0.0001,20
PM,3,N,P5,LC,08,1,*,0.0001,20
PM,3,N,P5,LC,08,2,*,0.0001,20
PM,3,N,P6,LC,08,0,*,0.0001,20
PM,3,N,P6,LC,08,1,*,0.0001,20
PM,3,N,P6,LC,08,2,*,0.0001,20
PM,3,N,P7,LC,08,0,*,0.0001,20
PM,3,N,P7,LC,08,1,*,0.0001,20
PM,3,N,P7,LC,08,2,*,0.0001,20
PM,3,N,P8,LC,08,0,*,0.0001,20
PM,3,N,P8,LC,08,1,*,0.0001,20
PM,3,N,P8,LC,08,2,*,0.0001,20
PM,3,N,P9,LC,08,0,*,0.0001,20
PM,3,N,P9,LC,08,1,*,0.0001,20
PM,3,N,P9,LC,08,2,*,0.0001,20
PM,3,N,C6,LC,08,0,*,0.0001,15
PM,3,N,C6,LC,08,1,*,0.0001,15
PM,3,N,C6,LC,08,2,*,0.0001,15
PM,3,N,C7,LC,08,0,*,0.0001,20
PM,3,N,C7,LC,08,1,*,0.0001,20
PM,3,N,C7,LC,08,2,*,0.0001,20
PM,3,N,C8,LC,08,0,*,0.0001,25
PM,3,N,C8,LC,08,1,*,0.0001,25
PM,3,N,C8,LC,08,2,*,0.0001,25
CM,1,N,AL,00,00,0,*,0.0001,0.1875
CM,1,N,AL,00,00,1,*,0.0001,0.1875
CM,1,N,AL,00,00,2,*,0.0001,0.1875
PM,1,N,AL,00,00,0,*,0.0001,0.1875
PM,1,N,AL,00,00,1,*,0.0001,0.1875
PM,1,N,AL,00,00,2,*,0.0001,0.1875
CM,2,N,AF,00,00,0,*,0.0001,0.1875
CM,2,N,AF,00,00,1,*,0.0001,0.1875
CM,2,N,AF,00,00,2,*,0.0001,0.1875
PM,2,N,AF,00,00,0,*,0.0001,0.1875
PM,2,N,AF,00,00,1,*,0.0001,0.1875
PM,2,N,AF,00,00,2,*,0.0001,0.1875
PM,O,B,O1,LC,08,0,*,0.0001,70
PM,O,B,O1,LC,08,1,*,0.0001,70
PM,O,B,O1,LC,08,2,*,0.0001,70
PM,O,S,O1,LC,08,0,*,0.0001,70
PM,O,S,O1,LC,08,1,*,0.0001,70
PM,O,S,O1,LC,08,2,*,0.0001,70
PM,O,F,O1,LC,08,0,*,0.0001,70
PM,O,F,O1,LC,08,1,*,0.0001,70
PM,O,F,O1,LC,08,2,*,0.0001,70
PM,O,A,O1,LC,08,0,*,0.0001,70
PM,O,A,O1,LC,08,1,*,0.0001,70
PM,O,A,O1,LC,08,2,*,0.0001,70
PM,O,D,O1,LC,08,0,*,0.0001,70
PM,O,D,O1,LC,08,1,*,0.0001,70
PM,O,D,O1,LC,08,2,*,0.0001,70
PM,O,B,O2,LC,08,0,*,0.0001,70
PM,O,B,O2,LC,08,1,*,0.0001,70
PM,O,B,O2,LC,08,2,*,0.0001,70
PM,O,S,O2,LC,08,0,*,0.0001,70
