Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
RP,3,B,SP,01,05,0,*,0.0001,70
RP,3,B,BN,01,05,0,*,0.0001,70
RP,5,B,SP,01,05,0,*,0.0001,70
RP,5,B,BN,01,05,0,*,0.0001,70
RP,5,B,OS,01,05,0,*,0.0001,70
RP,3,D,SP,00,00,0,*,0.0001,70
RP,5,D,SP,00,00,0,*,0.0001,70
RP,5,D,OS,00,00,0,*,0.0001,70
RP,3,S,SP,00,00,0,*,0.0001,70
RP,3,S,BN,00,00,0,*,0.0001,70
RP,5,S,SP,00,00,0,*,0.0001,70
RP,5,S,BN,00,00,0,*,0.0001,70
RP,5,S,OS,00,00,0,*,0.0001,70
RP,3,N,SP,01,08,0,*,0.0001,70
RP,3,N,BN,01,08,0,*,0.0001,70
RP,5,N,SP,01,08,0,*,0.0001,70
RP,5,N,BN,01,08,0,*,0.0001,70
RP,5,N,OS,01,08,0,*,0.0001,70
RP,3,N,R1,00,00,0,*,0.0001,70
RP,5,N,R1,00,00,0,*,0.0001,70
RP,3,N,R2,00,00,0,*,0.0001,70
RP,5,N,R2,00,00,0,*,0.0001,70
RP,3,N,R3,00,00,0,*,0.0001,70
RP,5,N,R3,00,00,0,*,0.0001,70
RP,3,N,R4,00,00,0,*,0.0001,70
RP,5,N,R4,00,00,0,*,0.0001,70
RP,3,N,R5,00,00,0,*,0.0001,70
RP,5,N,R5,00,00,0,*,0.0001,70
RP,3,N,R6,00,00,0,*,0.0001,70
RP,5,N,R6,00,00,0,*,0.0001,70
RP,3,N,R7,00,00,0,*,0.0001,70
RP,5,N,R7,00,00,0,*,0.0001,70
RP,3,N,R8,00,00,0,*,0.0001,70
RP,5,N,R8,00,00,0,*,0.0001,70
RP,3,N,R9,00,00,0,*,0.0001,70
RP,5,N,R9,00,00,0,*,0.0001,70
RP,3,N,R0,00,00,0,*,0.0001,70
RP,5,N,R0,00,00,0,*,0.0001,70
