Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
S2,3,N,CS,00,00,0,*,0.0001,0.9999
S2,3,N,CS,00,00,1,*,0.0001,0.9999
S2,3,N,CS,00,00,2,*,0.0001,0.9999
S2,3,B,CS,00,00,0,*,0.0001,0.9999
S2,3,B,CS,00,00,1,*,0.0001,0.9999
S2,3,B,CS,00,00,2,*,0.0001,0.9999
S2,3,S,CS,00,00,0,*,0.0001,0.9999
S2,3,S,CS,00,00,1,*,0.0001,0.9999
S2,3,S,CS,00,00,2,*,0.0001,0.9999
S2,3,D,CS,00,00,0,*,0.0001,0.9999
S2,3,D,CS,00,00,1,*,0.0001,0.9999
S2,3,D,CS,00,00,2,*,0.0001,0.9999
S2,4,N,CS,00,00,0,*,0.0001,0.9999
S2,4,N,CS,00,00,1,*,0.0001,0.9999
S2,4,N,CS,00,00,2,*,0.0001,0.9999
S2,4,B,CS,00,00,0,*,0.0001,0.9999
S2,4,B,CS,00,00,1,*,0.0001,0.9999
S2,4,B,CS,00,00,2,*,0.0001,0.9999
S2,4,S,CS,00,00,0,*,0.0001,0.9999
S2,4,S,CS,00,00,1,*,0.0001,0.9999
S2,4,S,CS,00,00,2,*,0.0001,0.9999
S2,4,D,CS,00,00,0,*,0.0001,0.9999
S2,4,D,CS,00,00,1,*,0.0001,0.9999
S2,4,D,CS,00,00,2,*,0.0001,0.9999
S2,3,N,CH,00,00,0,*,0.0001,0.9999
S2,3,N,CH,00,00,1,*,0.0001,0.9999
S2,3,N,CH,00,00,2,*,0.0001,0.9999
S2,3,B,CH,00,00,0,*,0.0001,0.9999
S2,3,B,CH,00,00,1,*,0.0001,0.9999
S2,3,B,CH,00,00,2,*,0.0001,0.9999
S2,3,S,CH,00,00,0,*,0.0001,0.9999
S2,3,S,CH,00,00,1,*,0.0001,0.9999
S2,3,S,CH,00,00,2,*,0.0001,0.9999
S2,3,D,CH,00,00,0,*,0.0001,0.9999
S2,3,D,CH,00,00,1,*,0.0001,0.9999
S2,3,D,CH,00,00,2,*,0.0001,0.9999
S2,4,N,CH,00,00,0,*,0.0001,0.9999
S2,4,N,CH,00,00,1,*,0.0001,0.9999
S2,4,N,CH,00,00,2,*,0.0001,0.9999
S2,4,B,CH,00,00,0,*,0.0001,0.9999
S2,4,B,CH,00,00,1,*,0.0001,0.9999
S2,4,B,CH,00,00,2,*,0.0001,0.9999
S2,4,S,CH,00,00,0,*,0.0001,0.9999
S2,4,S,CH,00,00,1,*,0.0001,0.9999
S2,4,S,CH,00,00,2,*,0.0001,0.9999
S2,4,D,CH,00,00,0,*,0.0001,0.9999
S2,4,D,CH,00,00,1,*,0.0001,0.9999
S2,4,D,CH,00,00,2,*,0.0001,0.9999
S2,3,N,CB,00,00,0,*,0.0001,0.9999
S2,3,N,CB,00,00,1,*,0.0001,0.9999
S2,3,N,CB,00,00,2,*,0.0001,0.9999
S2,3,B,CB,00,00,0,*,0.0001,0.9999
S2,3,B,CB,00,00,1,*,0.0001,0.9999
S2,3,B,CB,00,00,2,*,0.0001,0.9999
S2,3,S,CB,00,00,0,*,0.0001,0.9999
S2,3,S,CB,00,00,1,*,0.0001,0.9999
S2,3,S,CB,00,00,2,*,0.0001,0.9999
S2,3,D,CB,00,00,0,*,0.0001,0.9999
S2,3,D,CB,00,00,1,*,0.0001,0.9999
S2,3,D,CB,00,00,2,*,0.0001,0.9999
S2,4,N,CB,00,00,0,*,0.0001,0.9999
