Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
SA,3,B,N5,00,00,0,*,0.20631,0.9999
SA,3,B,N5,00,00,1,*,0.20631,0.9999
SA,3,B,N5,00,00,2,*,0.20631,0.9999
SA,3,S,N5,00,00,0,*,0.20631,0.9999
SA,3,S,N5,00,00,1,*,0.20631,0.9999
SA,3,S,N5,00,00,2,*,0.20631,0.9999
SA,3,D,N5,00,00,0,*,0.20631,0.9999
SA,3,D,N5,00,00,1,*,0.20631,0.9999
SA,3,D,N5,00,00,2,*,0.20631,0.9999
SA,3,N,ND,00,00,0,*,0.20631,0.9999
SA,3,N,ND,00,00,1,*,0.20631,0.9999
SA,3,N,ND,00,00,2,*,0.20631,0.9999
SA,3,B,ND,00,00,0,*,0.20631,0.9999
SA,3,B,ND,00,00,1,*,0.20631,0.9999
SA,3,B,ND,00,00,2,*,0.20631,0.9999
SA,3,N,NM,00,00,0,*,0.20631,0.9999
SA,3,N,NM,00,00,1,*,0.20631,0.9999
SA,3,N,NM,00,00,2,*,0.20631,0.9999
SA,4,B,N5,00,00,0,*,0.0001,0.9999
SA,4,B,N5,00,00,1,*,0.0001,0.9999
SA,4,B,N5,00,00,2,*,0.0001,0.9999
SA,4,S,N5,00,00,0,*,0.0001,0.9999
SA,4,S,N5,00,00,1,*,0.0001,0.9999
SA,4,S,N5,00,00,2,*,0.0001,0.9999
SA,4,D,N5,00,00,0,*,0.0001,0.9999
SA,4,D,N5,00,00,1,*,0.0001,0.9999
SA,4,D,N5,00,00,2,*,0.0001,0.9999
SA,4,B,NT,00,00,0,*,0.0001,0.9999
SA,4,B,NT,00,00,1,*,0.0001,0.9999
SA,4,B,NT,00,00,2,*,0.0001,0.9999
SA,4,S,NT,00,00,0,*,0.0001,0.9999
SA,4,S,NT,00,00,1,*,0.0001,0.9999
SA,4,S,NT,00,00,2,*,0.0001,0.9999
SA,4,N,ND,00,00,0,*,0.0001,0.9999
SA,4,N,ND,00,00,1,*,0.0001,0.9999
SA,4,N,ND,00,00,2,*,0.0001,0.9999
SA,4,B,ND,00,00,0,*,0.0001,0.9999
SA,4,B,ND,00,00,1,*,0.0001,0.9999
SA,4,B,ND,00,00,2,*,0.0001,0.9999
SA,4,N,NM,00,00,0,*,0.0001,0.9999
SA,4,N,NM,00,00,1,*,0.0001,0.9999
SA,4,N,NM,00,00,2,*,0.0001,0.9999
