Weight,SP,5D,BA
1,2.40,1.59,1.96
2,2.83,2.02,2.39
3,3.26,2.45,2.82
4,3.69,2.88,3.25
5,4.12,3.31,3.68
6,4.55,3.74,4.11
7,4.98,4.17,4.54
8,5.39,4.58,4.95
9,5.80,4.99,5.36
10,6.21,5.40,5.77
11,6.62,5.81,6.18
12,7.03,6.22,6.59
13,7.44,6.63,7.00
14,7.85,7.04,7.41
15,8.26,7.45,7.82
16,8.67,7.86,8.23
17,9.08,8.27,8.64
18,9.49,8.68,9.05
19,9.90,9.09,9.46
20,10.31,9.50,9.87
21,10.72,9.91,10.28
22,11.13,10.32,10.69
23,11.54,10.73,11.10
24,11.95,11.14,11.51
25,12.36,11.55,11.92
26,12.77,11.96,12.33
27,13.18,12.37,12.74
28,13.59,12.78,13.15
29,14.00,13.19,13.56
30,14.41,13.60,13.97
31,14.82,14.01,14.38
32,15.23,14.42,14.79
33,15.64,14.83,15.20
34,16.05,15.24,15.61
35,16.46,15.65,16.02
36,16.87,16.06,16.43
37,17.28,16.47,16.84
38,17.69,16.88,17.25
39,18.10,17.29,17.66
40,18.51,17.70,18.07
41,18.92,18.11,18.48
42,19.33,18.52,18.89
43,19.74,18.93,19.30
44,20.15,19.34,19.71
45,20.56,19.75,20.12
46,20.97,20.16,20.53
47,21.38,20.57,20.94
48,21.79,20.98,21.35
49,22.20,21.39,21.76
50,22.61,21.80,22.17
51,23.02,22.21,22.58
52,23.43,22.62,22.99
53,23.84,23.03,23.40
54,24.25,23.44,23.81
55,24.66,23.85,24.22
56,25.07,24.26,24.63
57,25.48,24.67,25.04
58,25.89,25.08,25.45
59,26.30,25.49,25.86
60,26.71,25.90,26.27
61,27.12,26.31,26.68
62,27.53,26.72,27.09
63,27.94,27.13,27.50
64,28.35,27.54,27.91
65,28.76,27.95,28.32
66,29.17,28.36,28.73
67,29.58,28.77,29.14
68,29.99,29.18,29.55
69,30.40,29.59,29.96
70,30.81,30.00,30.37
