Weight,SP,5D,BA
1,2.53,1.67,2.06
2,2.98,2.12,2.51
3,3.43,2.57,2.96
4,3.88,3.02,3.41
5,4.33,3.47,3.86
6,4.78,3.92,4.31
7,5.23,4.37,4.76
8,5.66,4.80,5.19
9,6.09,5.23,5.62
10,6.52,5.66,6.05
11,6.95,6.09,6.48
12,7.38,6.52,6.91
13,7.81,6.95,7.34
14,8.24,7.38,7.77
15,8.67,7.81,8.20
16,9.10,8.24,8.63
17,9.53,8.67,9.06
18,9.96,9.10,9.49
19,10.39,9.53,9.92
20,10.82,9.96,10.35
21,11.25,10.39,10.78
22,11.68,10.82,11.21
23,12.11,11.25,11.64
24,12.54,11.68,12.07
25,12.97,12.11,12.50
26,13.40,12.54,12.93
27,13.83,12.97,13.36
28,14.26,13.40,13.79
29,14.69,13.83,14.22
30,15.12,14.26,14.65
31,15.55,14.69,15.08
32,15.98,15.12,15.51
33,16.41,15.55,15.94
34,16.84,15.98,16.37
35,17.27,16.41,16.80
36,17.70,16.84,17.23
37,18.13,17.27,17.66
38,18.56,17.70,18.09
39,18.99,18.13,18.52
40,19.42,18.56,18.95
41,19.85,18.99,19.38
42,20.28,19.42,19.81
43,20.71,19.85,20.24
44,21.14,20.28,20.67
45,21.57,20.71,21.10
46,22.00,21.14,21.53
47,22.43,21.57,21.96
48,22.86,22.00,22.39
49,23.29,22.43,22.82
50,23.72,22.86,23.25
51,24.15,23.29,23.68
52,24.58,23.72,24.11
53,25.01,24.15,24.54
54,25.44,24.58,24.97
55,25.87,25.01,25.40
56,26.30,25.44,25.83
57,26.73,25.87,26.26
58,27.16,26.30,26.69
59,27.59,26.73,27.12
60,28.02,27.16,27.55
61,28.45,27.59,27.98
62,28.88,28.02,28.41
63,29.31,28.45,28.84
64,29.74,28.88,29.27
65,30.17,29.31,29.70
66,30.60,29.74,30.13
67,31.03,30.17,30.56
68,31.46,30.60,30.99
69,31.89,31.03,31.42
70,32.32,31.46,31.85
