Weight,B3,5D,3D
1,2.16,2.97,3.97
2,2.16,2.97,3.97
3,2.20,3.16,4.16
4,2.24,3.35,4.35
5,2.27,3.55,4.55
6,2.30,3.75,4.75
7,2.34,3.94,4.94
8,2.37,4.12,5.12
9,2.41,4.30,5.30
10,2.44,4.47,5.47
11,2.47,4.63,5.63
12,2.51,4.79,5.79
13,2.55,4.94,5.94
14,2.58,5.09,6.09
15,2.61,5.24,6.24
16,2.65,5.39,6.39
17,2.69,5.54,6.54
18,2.73,5.69,6.69
19,2.77,5.83,6.83
20,2.81,5.98,6.98
21,2.86,6.13,7.13
22,2.91,6.29,7.29
23,2.96,6.45,7.45
24,3.00,6.60,7.60
25,3.05,6.75,7.75
26,3.10,6.90,7.90
27,3.15,7.05,8.05
28,3.20,7.20,8.20
29,3.25,7.35,8.35
30,3.30,7.49,8.49
31,3.35,7.64,8.64
32,3.39,7.79,8.79
33,3.44,7.94,8.94
34,3.49,8.09,9.09
35,3.54,8.24,9.24
36,3.59,8.38,9.38
37,3.64,8.52,9.52
38,3.69,8.67,9.67
39,3.74,8.82,9.82
40,3.78,8.96,9.96
41,3.83,9.10,10.10
42,3.88,9.24,10.24
43,3.93,9.38,10.38
44,3.98,9.51,10.51
45,4.03,9.65,10.65
46,4.07,9.79,10.79
47,4.12,9.93,10.93
48,4.17,10.06,11.06
49,4.22,10.20,11.20
50,4.27,10.34,11.34
51,4.32,10.48,11.48
52,4.37,10.62,11.62
53,4.42,10.76,11.76
54,4.46,10.91,11.91
55,4.51,11.06,12.06
56,4.56,11.20,12.20
57,4.61,11.36,12.36
58,4.66,11.52,12.52
59,4.71,11.68,12.68
60,4.76,11.84,12.84
61,4.81,11.99,12.99
62,4.86,12.13,13.13
63,4.91,12.28,13.28
64,4.95,12.43,13.43
65,5.00,12.58,13.58
66,5.05,12.73,13.73
67,5.10,12.88,13.88
68,5.14,13.03,14.03
69,5.19,13.18,14.18
70,5.24,13.33,14.33
BN,2.81,5.98,6.98
OS,8.24,18.15,18.15
