Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
'4202026000009245899000133767876903',3,NP,N,00000,00000,00000,0002.1040,06,3.26,
'4202026000009245899000133769406724',3,NP,N,00000,00000,00000,0014.0036,07,9.48,
'4202026000009245899000133778870791',4,NP,N,00000,00000,00000,0005.8278,08,5.91,
'4202026000009245899000133763274435',4,NP,N,00000,00000,00000,0010.0645,01,4.66,
'4202026000009245899000133732432127',5,NP,N,00000,00000,00000,0009.4532,01,4.43,
'4202026000009245899000133723890078',5,NP,N,00000,00000,00000,0009.9311,07,7.03,
'4202026000009245899000133787766226',3,PR,N,00000,00000,00000,0001.9257,06,2.23,
'4202026000009245899000133739569675',3,PR,N,00000,00000,00000,0014.4636,06,7.07,
'4202026000009245899000133787020759',4,PR,N,00000,00000,00000,0008.4355,07,5.24,
'4202026000009245899000133711728528',4,PR,N,00000,00000,00000,0012.4590,03,4.03,
'4202026000009245899000133712054482',5,PR,N,00000,00000,00000,0004.4836,05,2.89,
'4202026000009245899000133763662955',5,PR,N,00000,00000,00000,0014.6232,01,3.99,
'4202026000009245899000133793432310',3,PR,B,00000,00000,00000,0003.0192,01,1.56,
'4202026000009245899000133775499822',3,PR,B,00000,00000,00000,0003.6677,03,1.72,
'4202026000009245899000133790127689',4,PR,B,00000,00000,00000,0004.3951,03,1.8,
'4202026000009245899000133729177410',4,PR,B,00000,00000,00000,0014.6356,01,2.49,
'4202026000009245899000133790687317',5,PR,B,00000,00000,00000,0000.2061,01,1.34,
'4202026000009245899000133788372559',5,PR,B,00000,00000,00000,0007.2407,05,2.92,
'4202026000009245899000133733328584',3,PR,S,00000,00000,00000,0010.3726,00,1.55,
'4202026000009245899000133771053683',3,PR,S,00000,00000,00000,0006.2645,00,1.28,
'4202026000009245899000133706697712',4,PR,S,00000,00000,00000,0013.3541,00,1.74,
'4202026000009245899000133765213424',4,PR,S,00000,00000,00000,0010.8736,00,1.58,
'4202026000009245899000133793505158',5,PR,S,00000,00000,00000,0014.6002,00,1.82,
'4202026000009245899000133731025607',5,PR,S,00000,00000,00000,0010.8964,00,1.58,
'4202026000009245899000133781654027',3,PR,D,00000,00000,00000,0014.3636,00,1.13,
'4202026000009245899000133789046327',3,PR,D,00000,00000,00000,0004.3018,00,0.85,
'4202026000009245899000133798681488',4,PR,D,00000,00000,00000,0004.8270,00,0.86,
'4202026000009245899000133796338070',4,PR,D,00000,00000,00000,0011.8579,00,1.06,
'4202026000009245899000133703399434',5,PR,D,00000,00000,00000,0001.0109,00,0.75,
'4202026000009245899000133752887257',5,PR,D,00000,00000,00000,0002.3017,00,0.79,
