Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
'4202026000009202599000133780748359',3,SP,N,00000,00000,00000,0058.8893,05,65.16,57.92
'4202026000009202599000133735166981',3,SP,N,00000,00000,00000,0021.0226,00,17.24,13.63
'4202026000009202599000133712647768',3,SP,N,00000,00000,00000,0025.5562,03,22.79,18.12
'4202026000009202599000133716059727',5,SP,N,00000,00000,00000,0038.9085,00,23.54,20.48
'4202026000009202599000133773187956',5,SP,N,00000,00000,00000,0036.1081,05,46.97,38.42
'4202026000009202599000133715925875',5,SP,N,00000,00000,00000,0026.4153,03,23.13,18.37
'4202026000009202599000133712943718',1,SP,N,00000,00000,00000,0041.3032,08,82.67,77.63
'4202026000009202599000133765987013',1,SP,N,00000,00000,00000,0011.8531,05,24.90,22.83
'4202026000009202599000133732067250',1,SP,N,00000,00000,00000,0042.6425,03,31.64,25.14
'4202026000009202599000133741907901',2,SP,N,00000,00000,00000,0009.0392,00,10.41,9.29
'4202026000009202599000133792990433',2,SP,N,00000,00000,00000,0030.6524,03,24.27,19.24
'4202026000009202599000133721644264',2,SP,N,00000,00000,00000,0062.9185,08,104.92,103.00
'4202026000009212399000133756526165',O,SP,A,00000,00000,00000,0003.9129,07,14.29,13.59
'4202026000009212399000133718796997',O,SP,A,00000,00000,00000,0060.8825,00,30.34,29.47
'4202026000009212399000133759532566',O,SP,A,00000,00000,00000,0027.8493,07,53.35,42.46
'4202026000009212399000133737047643',O,SP,B,00000,00000,00000,0010.9887,06,25.98,24.06
'4202026000009212399000133780514683',O,SP,B,00000,00000,00000,0032.0462,06,50.93,41.14
'4202026000009212399000133762227260',O,SP,B,00000,00000,00000,0048.2653,04,41.39,36.93
'4202026000009212399000133751233491',O,SP,D,00000,00000,00000,0027.5916,08,64.53,52.53
'4202026000009212399000133723053325',O,SP,D,00000,00000,00000,0023.1504,03,22.21,17.64
'4202026000009212399000133757240729',O,SP,D,00000,00000,00000,0050.6323,07,77.41,69.99
'4202026000009212399000133772909094',O,SP,F,00000,00000,00000,0034.6996,07,61.86,49.10
'4202026000009212399000133738230881',O,SP,F,00000,00000,00000,0028.0743,04,31.54,25.89
