Mailing Date,Trans Date,File Number,Sub File Number,PIC,Dest ZIP,Entry Facility ZIP,Mail Class,Dest Rate,Rate,eVS Zone,Mailer Zone,Weight,Man Postg ($),Man Surch ($),eVS Postage + Surch ($),Extra Serv code 1,Extra Serv code 2,Man Extra Serv fee 1($),Man Extra Serv fee 2($),eVS Extra Serv fee 1($),eVS Extra Serv fee 2($),Man Addl Sp Fee ($),eVS Addl Sp Fee ($),Total Variance ($)
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133700570461','35601','20260',PM,D,O2,'04','04',67.8328,1.990,0.000,11.080,'430',,0.000,0.000,0.000,0.000,0.000,0.000,9.090
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133701503767','35601','20260',PM,A,O2,'04','04',1.7539,1.990,0.000,9.240,'430',,0.000,0.000,0.000,0.000,0.000,0.000,7.250
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133702714807','20260','20260',PM,B,O1,'01','01',34.3071,1.990,0.000,7.680,'430',,0.000,0.000,0.000,0.000,0.000,0.000,5.690
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133703763688','74333','20260',PM,A,O4,'06','06',36.1532,1.990,0.000,48.960,'430',,0.000,0.000,0.000,0.000,0.000,0.000,46.970
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133703818963','74333','20260',PM,D,O2,'06','06',44.6175,1.990,0.000,18.060,'430',,0.000,0.000,0.000,0.000,0.000,0.000,16.070
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133704113559','74333','20260',PM,S,O1,'06','06',20.0681,1.990,0.000,26.580,'430',,0.000,0.000,0.000,0.000,0.000,0.000,24.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133704607665','20260','20260',PM,A,O1,'01','01',59.0914,1.990,0.000,7.680,'430',,0.000,0.000,0.000,0.000,0.000,0.000,5.690
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133706500897','87501','20260',PM,S,O3,'07','07',38.1923,1.990,0.000,28.270,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.280
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133706747564','87501','20260',PM,D,O1,'07','07',26.3229,1.990,0.000,31.690,'430',,0.000,0.000,0.000,0.000,0.000,0.000,29.700
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133707803482','87501','20260',PM,A,O3,'07','07',4.3467,1.990,0.000,28.270,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.280
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133709433112','61001','20260',PM,D,O1,'05','05',32.5983,1.990,0.000,25.950,'430',,0.000,0.000,0.000,0.000,0.000,0.000,23.960
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133709959411','61001','20260',PM,B,O4,'05','05',16.8233,1.990,0.000,40.090,'430',,0.000,0.000,0.000,0.000,0.000,0.000,38.100
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133711125235','74333','20260',PM,B,O4,'06','06',22.6258,1.990,0.000,48.960,'430',,0.000,0.000,0.000,0.000,0.000,0.000,46.970
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133713336178','24001','20260',PM,D,O1,01*,'02',26.0265,1.990,0.000,10.180,'430',,0.000,0.000,0.000,0.000,0.000,0.000,8.190
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133713674246','35601','20260',PM,F,O1,'04','04',8.9174,1.990,0.000,12.330,'430',,0.000,0.000,0.000,0.000,0.000,0.000,10.340
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133714119884','90210','20260',PM,D,O4,'08','08',68.6767,1.990,0.000,63.510,'430',,0.000,0.000,0.000,0.000,0.000,0.000,61.520
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133715463075','90210','20260',PM,F,O2,'08','08',62.3443,1.990,0.000,19.320,'430',,0.000,0.000,0.000,0.000,0.000,0.000,17.330
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133715554065','74333','20260',PM,A,O1,'06','06',57.9238,1.990,0.000,26.580,'430',,0.000,0.000,0.000,0.000,0.000,0.000,24.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133717643048','25505','20260',PM,F,O4,'03','03',52.1963,1.990,0.000,17.330,'430',,0.000,0.000,0.000,0.000,0.000,0.000,15.340
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133718796997','20260','20260',PM,A,SP,'01','01',60.8825,1.990,0.000,29.470,'430',,0.000,0.000,0.000,0.000,0.000,0.000,27.480
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133718864447','74333','20260',PM,S,O1,'06','06',59.9787,1.990,0.000,26.580,'430',,0.000,0.000,0.000,0.000,0.000,0.000,24.590
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133723053325','25505','20260',PM,D,SP,'03','03',23.1504,1.990,0.000,17.640,'430',,0.000,0.000,0.000,0.000,0.000,0.000,15.650
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133725299819','20260','20260',PM,S,SP,'01','01',68.5290,1.990,0.000,32.740,'430',,0.000,0.000,0.000,0.000,0.000,0.000,30.750
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133725606228','20260','20260',PM,B,O3,'01','01',49.1929,1.990,0.000,9.160,'430',,0.000,0.000,0.000,0.000,0.000,0.000,7.170
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133726357946','87501','20260',PM,F,O4,'07','07',38.9815,1.990,0.000,53.300,'430',,0.000,0.000,0.000,0.000,0.000,0.000,51.310
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133729513827','25505','20260',PM,S,O3,'03','03',34.7335,1.990,0.000,10.620,'430',,0.000,0.000,0.000,0.000,0.000,0.000,8.630
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133729669233','87501','20260',PM,S,O4,'07','07',9.4698,1.990,0.000,53.300,'430',,0.000,0.000,0.000,0.000,0.000,0.000,51.310
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133731878663','74333','20260',PM,D,O4,'06','06',12.5125,1.990,0.000,52.780,'430',,0.000,0.000,0.000,0.000,0.000,0.000,50.790
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133733701612','35601','20260',PM,F,O3,'04','04',34.4103,1.990,0.000,14.460,'430',,0.000,0.000,0.000,0.000,0.000,0.000,12.470
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133734718808','90210','20260',PM,F,O2,'08','08',33.4369,1.990,0.000,19.320,'430',,0.000,0.000,0.000,0.000,0.000,0.000,17.330
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133736358790','87501','20260',PM,S,O1,'07','07',25.0473,1.990,0.000,28.450,'430',,0.000,0.000,0.000,0.000,0.000,0.000,26.460
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133737047643','74333','20260',PM,B,SP,'06','06',10.9887,1.990,0.000,24.060,'430',,0.000,0.000,0.000,0.000,0.000,0.000,22.070
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133738230881','35601','20260',PM,F,SP,'04','04',28.0743,1.990,0.000,25.890,'430',,0.000,0.000,0.000,0.000,0.000,0.000,23.900
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133739208553','25505','20260',PM,A,O3,'03','03',40.1899,1.990,0.000,10.620,'430',,0.000,0.000,0.000,0.000,0.000,0.000,8.630
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133740425249','35601','20260',PM,S,SP,'04','04',28.9610,1.990,0.000,25.890,'430',,0.000,0.000,0.000,0.000,0.000,0.000,23.900
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133740996398','90210','20260',PM,F,O1,'08','08',37.9693,1.990,0.000,31.800,'430',,0.000,0.000,0.000,0.000,0.000,0.000,29.810
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133743393562','20260','20260',PM,F,O4,'01','01',17.2918,1.990,0.000,13.110,'430',,0.000,0.000,0.000,0.000,0.000,0.000,11.120
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133744545527','20260','20260',PM,F,SP,'01','01',54.6754,1.990,0.000,26.980,'430',,0.000,0.000,0.000,0.000,0.000,0.000,24.990
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133745099992','61001','20260',PM,S,O2,'05','05',31.7848,1.990,0.000,16.100,'430',,0.000,0.000,0.000,0.000,0.000,0.000,14.110
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133749902518','90210','20260',PM,A,O3,'08','08',67.8999,1.990,0.000,35.880,'430',,0.000,0.000,0.000,0.000,0.000,0.000,33.890
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133751233491','90210','20260',PM,D,SP,'08','08',27.5916,1.990,0.000,52.530,'430',,0.000,0.000,0.000,0.000,0.000,0.000,50.540
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133752170416','20260','20260',PM,A,O4,'01','01',33.6248,1.990,0.000,13.110,'430',,0.000,0.000,0.000,0.000,0.000,0.000,11.120
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133753286592','25505','20260',PM,B,O2,'03','03',44.9404,1.990,0.000,7.520,'430',,0.000,0.000,0.000,0.000,0.000,0.000,5.530
02/22/2013,02/22/2013,'9275099000133713459730','9275099000133713459730','4202026000009212399000133756526165','87501','20260',PM,A,SP,'07','07',3.9129,1.990,0.000,13.590,'430',,0.000,0.000,0.000,0.000,0.000,0.000,11.600
